col_name,Présent,Imparfait,Passé simple,Passé composé,Futur,Plus que parfait,date,canon,subgenre
1891_Maquet-Auguste_La-belle-Gabrielle_Tome-3,7064,1600,1566,633,403,185,1891,0,1
1875_Noel-Eugene_Memoires-d-un-imbecile,2447,727,485,508,120,225,1875,0,
1958_Aragon-Louis_La-semaine-sainte,12405,6691,1728,2129,389,1776,1958,1,3
2003_Echenoz-Jean_Au-Piano,2377,729,691,254,55,89,2003,1,10
1862_Malot-Hector_Les-Amants,7098,4095,2342,1031,305,833,1862,0,
2003_Angot-Christine_Peau-d-ane,685,377,84,145,36,78,2003,1,
2010_Claro_CosmoZ,7321,2307,1057,1103,192,396,2010,0,13
1876_Aimard-Gustave_Les-invisibles-de-Paris_Les-Compagnons-de-la-Lune,4168,1108,1306,509,327,175,1876,0,1
1963_Pagnol-Marcel_Manon-des-sources,5356,1946,1966,916,208,370,1963,1,
1877_Berthet-Elie_L-Incendiaire,6176,2074,2081,1146,456,386,1877,0,1
1888_Malot-Hector_Conscience,6726,2722,1267,1329,302,793,1888,0,
1893_Montegut-Maurice_Madame-Tout-le-monde,1899,1046,739,257,65,134,1893,0,4
1898_Malin-Henri_Les-Premiers-combats-de-la-vie-Un-collegien-de-Paris-en-1870,3691,1706,1033,496,182,180,1898,0,
1958_Beauvoir-Simone-de_Memoires-d-une-jeune-fille-rangee,7545,6723,1460,865,84,967,1958,1,7
1836_Musset-Alfred-de_La-Confession-d-un-enfant-du-siecle,7261,2619,809,962,281,492,1836,1, mémoires et autobiographie 
1866_Gouraud-Julie_Mémoires-d'un-caniche,64,36,14,6,4,4,1866,0,6
1816_Constant-Benjamin_Adolphe,1883,870,272,333,53,221,1816,1,
1921_Barres-Maurice_Un-jardin-sur-l-Oronte,1849,553,300,271,64,60,1921,1,3
1858_Veuillot-Louis_L-Honnete-femme,7712,1444,1234,1030,429,229,1858,0,
1867_Assollant-Alfred_Aventures-merveilleuses-mais-authentiques-du-capitaine-Corcoran-Deuxieme-partie,2704,840,1019,562,154,161,1867,0,1
1837_Nodier-Charles_Ines-de-Las-Sierras,1514,427,352,308,61,148,1837,1,
1874_Barbey-d-Aurevilly-Jules_Les-Diaboliques,5179,3021,1139,985,104,611,1874,1,4
1911_Rolland-Romain_Jean-Christophe_Tome-IX-Le-buisson-ardent,3051,3021,1222,509,69,370,1911,1,5
1877_Le-Febvre-Victor_Les-Travailleurs-du-sol--le-degrossi-par-Victor-Le-Febvre,5001,1130,1343,637,199,196,1877,0,
1858_Gouraud-Julie_Les-Vacances-d-Yvonne,3098,527,619,341,179,74,1858,0,6
1968_Barjavel-Rene_La-nuit-des-temps,4856,2528,2139,695,169,454,1968,0,13
1896_Laurie-Andre_La-Vie-de-college-dans-tous-les-temps-et-dans-tous-les-pays,4148,981,1294,730,259,258,1896,0,6
1869_Sorr-Angelo-de_Fantome-de-la-rue-de-Venise,4058,1150,1156,627,222,161,1869,0,
1862_Chevalier-H-Emile_La-Capitaine,3201,896,1155,501,185,190,1862,0,1
1867_Pitray-Olga-de-Segur_Les-enfants-des-Tuileries,3613,428,490,439,165,78,1867,0,6
1850_Feval-Paul_Les-Belles-de-nuit-ou-Les-Anges-de-la-famille_Tome-I,7407,3980,2333,1208,415,600,1850,0,1
1853_Sue-Eugene_Les-Mysteres-du-peuple_Tome-IX,5454,1401,1002,1086,351,207,1853,1,1
1876_Sand-George_Contes-d-une-grand-mere,7563,2809,2100,1114,312,563,1876,1,4
1863_Pontmartin-Armand-de_Les-bruleurs-de-temples,5266,2396,1778,1120,324,563,1863,0,
1876_Geiger-Anna_Souvenirs-de-femme,2625,1175,820,309,101,167,1876,0,4
1879_Deslys-Charles-Cauvain-Jules_La-Revanche-de-Marguerite,5507,1875,1723,686,329,362,1879,0,1
1861_Dumas-Alexandre_Bric-a-Brac,3324,811,721,576,167,226,1861,1,4
1888_Blandy-Stella_L-Oncle-Philibert,3590,1039,1008,646,247,274,1888,0,6
1947_Vian-Boris_L-automne-a-Pekin,6091,1547,1818,564,236,99,1947,1,10
1878_Dupuis-Eudoxie_Cyprienne-et-Cyprien,3915,2974,1436,879,149,758,1878,0,6
2011_Abecassis-Agnes_Le-theoreme-de-cupidon,5012,349,109,692,96,61,2011,0,8
1954_Beauvoir-Simone-de_Les-Mandarins_2,12214,3650,1507,2568,470,694,1954,1,
1886_Boisgobey-Fortune-du_La-Bande-rouge_Tome-I,0,0,0,0,0,0,1886,0,2
1908_Bovet-Marie-Anne-de_Apres-le-divorce,3594,920,393,603,102,239,1908,0,
2007_Nothomb-Amelie_Le-fait-du-Prince,2315,698,251,278,35,171,2007,1,
1975_Sagan-Françoise_Des-yeux-de-soie,1757,1272,933,231,25,216,1975,0,4
2015_Angot-Christine_Un-amour-impossible,3682,1604,4,1478,53,228,2015,1,7
1898_Huysmans-Joris-Karl_La-Cathedrale,7791,1722,1064,942,102,256,1898,1,5
1995_Echenoz-Jean_Les-Grandes-Blondes,3695,790,706,478,58,138,1995,1,2
1907_Apollinaire-Guillaume_Les-Onze-mille-verges-ou-les-Amours-d-un-hospodar,1592,824,1112,208,33,132,1907,1,9
1878_Chavannes-de-La-Giraudiere-Hippolyte-de_Patrice,289,133,139,61,12,37,1878,0,6
1951_Simenon-Georges_Maigret-au-Picratt-s,3253,1391,518,950,91,250,1951,1,2
2020_Springora-Vanessa_Le-consentement,2753,154,5,531,87,47,2020,0,7
1941_Leblanc-Maurice_Les-Milliards-d-Arsene-Lupin,2903,746,1232,546,128,210,1941,0,2
1933_Nizan-Paul_Antoine-Bloye,3636,3599,410,500,153,390,1933,1,
1875_Toudouze-Gustave_La-sirene-Souvenir-de-Capri,711,319,165,66,20,35,1875,0,
1859_Mallefille-Felicien_Monsieur-Corbeau,3380,1102,893,512,126,261,1859,0,4
1971_Delbo-Charlotte_Auschwitz-et-apres_III--Mesure-de-nos-jours,3055,1223,5,1079,97,222,1971,1,7
1900_Colette_La-retraite-sentimentale,3942,419,75,426,80,47,1900,1,
1834_Foa-Eugenie_La-Femme-a-la-mode,2953,523,584,317,115,69,1834,0,
1876_Belot-Adolphe_Le-secret-terrible--memoires-d-un-caissier,8903,2829,2880,1361,327,633,1876,0,
1873_Daudet-Alphonse_Le-Cabecilla,64,28,13,6,2,3,1873,1,4
1935_Veuzit-Max-du_Fille-de-prince,5123,1920,1145,937,191,407,1935,0,8
1887_Soboleska-Mme_Les-Jeunes-filles-de-Quinnebasset,5475,1224,821,897,239,208,1887,0,6
1879_Theuriet-Andre_Andre-Theuriet-La-Maison-des-Deux-Barbeaux-Le-Sang-des-Finoel,2473,1717,1174,441,146,293,1879,0,
1884_Berthet-Elie_Le-Brocanteur,5144,1904,1728,955,357,342,1884,0,
1873_Gouraud-Julie_Petite-et-grande,2594,1115,764,335,146,156,1873,0,6
1995_Laurens-Camille_Philippe,807,68,4,125,21,8,1995,1,7
1862_Pont-Jest-Rene-de_Bolino-le-negrier-souvenirs-de-l-Ocean-Indien,3637,2177,1441,737,196,569,1862,0,1
1905_Beaunier-Andre_Picrate-et-Simeon,5703,1828,1553,607,105,164,1905,0,
1982_Chessex-Jacques_Judas-le-transparent,3721,476,54,932,118,45,1982,0,
1826_Ginouvier-J-F-T._Gustave-et-Aspais-ou-Les-victimes-des-prejuges-de-l-epoque_tome-2,3062,246,68,501,147,50,1826,0,12
1873_Viollet-le-Duc-Eugene-Emmanuel_Histoire-d-une-maison,4927,767,304,646,561,118,1873,0,6
1842_Balzac-Honore-de_Memoires-de-deux-jeunes-mariees,6214,627,79,1866,397,108,1842,1,12
1914_Rolland-Romain_Colas-Breugnon,6721,1361,579,639,204,153,1914,1,3
1882_Verly-Hippolyte_Spada-la-Rapiere,2543,1105,799,479,137,335,1882,0,3
1954_San-Antonio_Rue-des-macchabees,4177,233,8,551,59,26,1954,0,9
1926_Delly_Elfrida-Norsten-le-secret-de-la-sarrasine,4139,1596,1373,840,324,370,1926,0,8
2014_Kerangal-Maylis-de_Reparer-les-vivants,5132,607,243,667,134,166,2014,1,
1934_Simenon-Georges_Maigret,2047,1214,722,504,74,193,1934,1,2
2004_Angot-Christine_Une-partie-du-coeur,677,602,3,105,4,133,2004,1,non-fiction
1886_France-Jeanne_Une-française-souvenirs-de-l-annee-terrible,0,0,0,0,0,0,1886,0,
1833_Girardin-Delphine-de_Contes-d-une-vieille-fille-a-ses-neveux,2787,1515,1098,382,114,216,1833,0,6
1883_Halt-Marie-Robert_Histoire-d-un-petit-homme,3046,1272,1662,410,113,190,1883,0,6
1824_Beaufort-d-Hautpoul-Anne-Marie-de_Le-Page-et-la-romance_tome-3,1533,685,655,289,91,130,1824,0,3
1864_ Verne-Jules_Voyage-au-centre-de-la-Terre,3987,1725,950,597,164,179,1864,1,1
1858_Sand-George_Legendes-rustiques,1405,452,453,230,33,92,1858,1,4
1930_Genestoux-Magdeleine-du_Mademoiselle-trouble-fete,4986,1492,1549,633,309,279,1930,0,6
1912_Loti-Pierre_Un-pelerin-d-Angkor 2,1737,140,62,256,42,34,1912,1,11
1864_Goncourt-Edmond-et-Jules-de_Germinie-Lacerteux,2772,2900,956,390,64,366,1864,1,
1858_Ponson-du-Terrail-Pierre_Le-Club-des-valets-de-coeurs,17836,5150,8063,3293,1285,1353,1858,0,1
1980_Le-Clezio-Jean-Marie-Gustave_Desert,9921,2169,140,1426,138,333,1980,1,
1890_Loti-Pierre_Au-Maroc,4357,139,59,657,88,31,1890,1,11
1879_Hervilly-Ernest-d-_Ernest-d-Hervilly-Histoires-de-mariages,2550,1000,768,460,98,211,1879,0,4
1945_Gracq-Julien_Un-beau-tenebreux,3786,902,370,547,92,78,1945,1,
1925_Delly_Les-ombres,2322,1735,995,264,150,178,1925,0,8
1891_Witt-Henriette-de_La-Petite-fille-aux-grand-meres,2644,2089,705,589,288,546,1891,0,6
2015_Enard-Mathias_Boussole,6074,2126,367,1186,181,443,2015,1,
1857_About-Edmond_Le-Roi-des-montagnes,4545,1353,961,789,274,255,1857,0,1
1920_Mauriac-François_La-chair-et-le-sang,3002,1142,899,306,87,175,1920,1,
1981_Delly_Ma-robe-couleur-du-temps,2719,1201,484,282,175,187,1981,0,8
1974_Laine-Pascal_La-dentelliere,1163,1255,330,246,34,205,1974,0,
1953_Delly_Le-repaire-des-fauves,3150,1968,1293,523,244,352,1953,0,8
1847_Sandeau-Jules_Mademoiselle-de-la-Seigliere_Volume-1,1390,578,465,255,83,152,1847,0,
2012_Jourde-Pierre_Le-Marechal-absolu,13520,8040,104,3526,353,1664,2012,0,
1880_Zola-Emile_Nana,6505,6398,3061,1037,187,860,1880,1,5
1944_Camus-Albert_Le-premier-homme,3164,3560,572,627,55,566,1944,1,7
1926_Kessel-Joseph_Les-Captifs,2738,1852,1195,354,96,300,1926,1,
1881_Stolz-Madame-de_Les-deux-reines,2456,1062,504,356,179,180,1881,0,6
1953_Simenon-Georges_Maigret-se-trompe,3065,1212,477,905,69,194,1953,1,2
1965_Delbo-Charlotte_Auschwitz-et-apres_I-Aucun-de-nous-ne-reviendra,3400,571,13,316,62,69,1965,1,7
2011_de-Vigan-Delphine_Rien-ne-s-oppose-a-la-nuit,3880,2745,1197,1457,81,717,2011,0,7
1882_Aimard-Gustave_Les-bandits-de-l-Arizona,4940,1161,1185,872,391,353,1882,0,1
1894_Allais-Alphonse_Rose-et-vert-pomme,2184,426,401,342,97,45,1894,0,4
1885_Daudet-Ernest_Le-roman-de-Delphine,2728,1544,1131,673,169,282,1885,0,
1954_Simenon-Georges_Maigret-et-la-jeune-morte,2623,1333,432,1002,59,239,1954,1,2
1923_Delly_Dans-les-ruines,3824,1718,1504,760,207,401,1923,0,8
1839_Dumas-Alexandre_Blanche-de-Beaulieu-et-autres-histoires,3674,1560,1852,637,132,476,1839,1,4
1954_Simonin-Albert_Le-cave-se-rebiffe,2707,2175,3,1230,41,348,1954,0,2
1846_Balzac-Honore-de_Esquisse-d’un-homme-d’affaires-d-apres-nature,390,85,121,69,16,21,1846,1,5
1935_Delly_Contes,242,272,129,35,7,34,1935,0,8
1858_Sue-Eugene_Miss-Mary-ou-l-Institutrice,5631,966,1109,1027,356,203,1858,1,
1947_Bealu-Marcel_Journal-d-un-mort,1538,209,54,126,32,33,1947,0,fragments
1895_Loti-Pierre_Jerusalem,2460,102,81,369,36,46,1895,1,11
1833_Sand-George_Metella,1126,410,548,184,41,105,1833,1,
1858_Dumas-Alexandre_Jane,1867,531,531,253,90,79,1858,1,1
1899_Le-Rouge-Gustave_La-Conspiration-des-milliardaires_Tome-II-a-coups-de-milliards,3400,1808,878,738,212,550,1899,0,1
1862_Erckmann-Chatrian_Confidences-d-un-joueur-de-clarinette,2016,741,398,288,98,66,1862,0,
1942_Fargue-Leon-Paul_Refuges,2567,873,221,393,124,98,1942,1,fragments
1848_Balzac-Honore-de_Les-Parents-pauvres-La-Cousine-Bette,10180,2194,2326,1683,606,440,1848,1,5
1872_Daudet-Alphonse_Le-Bon-Dieu-de-Chemille-qui-n-est-ni-pour-ni-contre,39,13,17,2,1,0,1872,1,4
1855_Dumas-Alexandre_Le-page-du-duc-de-Savoie_I,3138,1277,1182,631,140,434,1855,1,1
1862_Ulbach-Louis_Le-Mari-d-Antoinette,7447,2373,1992,1181,344,394,1862,0,
